#,latitude,longitude,d_centre,accommodates,bathrooms,bedrooms,calculated_host_listings_count,guests_included,host_listings_count,minimum_nights,number_of_reviews,instant_bookable,room_type,price
2325,52.35015806,4.890301857,3.285004511,4,1,2,45,1,47,2,2,Possible,Entire home/apt,179
2589,52.37984417,4.888354763,0.754863806,4,1.5,1,45,2,47,2,71,Possible,Entire home/apt,149
2676,52.36392101,4.942615619,3.385707821,2,1,1,45,1,47,2,7,Possible,Entire home/apt,99
3400,52.35344969,4.939828938,3.9617206,4,1,4,45,1,47,2,6,Possible,Entire home/apt,169
3502,52.35677502,4.911055564,2.612658634,2,1,1,45,1,47,2,5,Possible,Entire home/apt,79
3589,52.38443491,4.852072977,3.2647804,2,1,1,45,1,47,2,10,Possible,Entire home/apt,89
3717,52.36599237,4.873739989,2.277846848,2,1,1,45,1,47,2,8,Possible,Entire home/apt,79
4669,52.36263851,4.891958925,1.907766845,4,1,1,45,1,47,2,61,Possible,Entire home/apt,119
5238,52.3628116,4.936958508,3.129689057,2,1,1,45,1,47,2,11,Possible,Entire home/apt,79
5337,52.35273389,4.85004229,4.457972169,2,1,1,45,1,47,2,7,Possible,Entire home/apt,114
5581,52.37329582,4.835288683,4.400351374,2,1,1,45,1,47,2,10,Possible,Entire home/apt,89
5900,52.35170572,5.000739282,7.522219674,4,1,3,45,1,47,2,1,Possible,Entire home/apt,149
6120,52.34847085,4.938902378,4.33894782,4,2,2,45,1,47,2,4,Possible,Entire home/apt,159
6631,52.35820561,4.921121526,2.757380706,2,1,1,45,1,47,2,5,Possible,Entire home/apt,69
6851,52.35561586,4.919473877,2.951546651,2,1,1,45,1,47,2,11,Possible,Entire home/apt,79
8028,52.36260537,4.930996287,2.825356893,2,1,1,45,1,47,2,4,Possible,Entire home/apt,79
8055,52.36791101,4.941173984,3.096893636,2,1,1,45,1,47,2,10,Possible,Entire home/apt,79
8423,52.35333746,4.940755343,4.014390282,2,1,1,45,1,47,2,5,Possible,Entire home/apt,109
8591,52.35305985,4.92680551,3.446906221,4,1,2,45,1,47,2,5,Possible,Entire home/apt,149
8705,52.3710027,4.923338648,1.859612576,2,1.5,1,45,1,47,2,7,Possible,Entire home/apt,99
9097,52.34001284,4.919702527,4.565650775,2,1,1,45,1,47,2,3,Possible,Entire home/apt,79
9187,52.35650116,4.91419007,2.712795135,2,1,1,45,1,47,2,4,Possible,Entire home/apt,79
