#,latitude,longitude,d_centre,accommodates,bathrooms,bedrooms,calculated_host_listings_count,guests_included,host_listings_count,minimum_nights,number_of_reviews,instant_bookable,room_type,review_avg,price
4598,52.34431061,4.80538265,7.46694341,2,1,1,1,1,1,2,1,Not Possible,Private room,0.773783542,50
4607,52.36365153,4.906471638,1.791462806,2,1,1,1,1,1,2,1,Not Possible,Entire home/apt,0.785225304,156
4612,52.34986786,4.905566381,3.284805631,2,1,1,1,1,1,2,24,Not Possible,Entire home/apt,0.756633319,110
4618,52.3637283,4.93270193,2.836761703,2,1,1,1,1,1,2,5,Not Possible,Entire home/apt,0.796664059,120
4620,52.36380264,4.932609377,2.826761355,2,1,1,1,1,1,2,22,Not Possible,Entire home/apt,0.745360781,99
4633,52.35398455,4.886390303,2.937298967,2,1,1,1,1,1,2,2,Not Possible,Entire home/apt,0.742932852,75
4634,52.38674588,4.919629709,1.60693301,2,1,1,1,1,1,2,6,Not Possible,Entire home/apt,0.760003449,95
4636,52.36251866,4.868400669,2.804302464,2,1,1,2,1,2,2,59,Not Possible,Private room,0.739648772,70
4641,52.36734818,4.851977518,3.477926411,2,1,1,2,1,2,2,3,Not Possible,Entire home/apt,0.719556143,99
4643,52.37848178,4.853432009,3.121329582,2,1,1,1,1,1,2,0,Not Possible,Entire home/apt,0.809633632,120
4646,52.3566595,4.85591314,3.871276348,2,1,1,4,1,4,2,1,Possible,Private room,0.912037671,59
4661,52.382728,4.854697946,3.059698738,2,1,1,1,1,1,2,0,Not Possible,Entire home/apt,0.858916114,79
4674,52.39109148,4.876517696,2.040753085,2,1,1,1,1,1,2,2,Not Possible,Entire home/apt,0.705253436,30
4675,52.35223,4.898904728,2.996035171,2,1,1,1,1,1,2,2,Not Possible,Entire home/apt,0.734156139,91
4679,52.36824083,4.850518561,3.534353968,2,1,1,1,1,1,2,18,Not Possible,Entire home/apt,0.874276778,69
